yearID,teamID,avg_age,lgID,franchID,G,R,W,L,runs_per_game,win_pct
2003,SDN,28.949152542372882,NL,SDP,162,678,64,98,4.185185185185185,0.3950617283950617
2003,SEA,32.55827729747038,AL,SEA,162,795,93,69,4.907407407407407,0.5740740740740741
2003,SFN,32.77219321148825,NL,SFG,161,755,100,61,4.6894409937888195,0.6211180124223602
2003,SLN,30.205831635052515,NL,STL,162,876,85,77,5.407407407407407,0.5246913580246914
2003,TBA,26.892718446601943,AL,TBD,162,715,63,99,4.41358024691358,0.3888888888888889
2003,TEX,29.096825650023927,AL,TEX,162,826,71,91,5.098765432098766,0.4382716049382716
2003,TOR,28.848418070203053,AL,TOR,162,894,86,76,5.518518518518518,0.5308641975308642
2004,ANA,29.114441416893733,AL,ANA,162,836,92,70,5.160493827160494,0.5679012345679012
2004,ARI,29.398877332012546,NL,ARI,162,615,51,111,3.7962962962962963,0.3148148148148148
2004,ATL,28.295054200542005,NL,ATL,162,803,96,66,4.95679012345679,0.5925925925925926
2004,BAL,31.191289362368792,AL,BAL,162,842,78,84,5.197530864197531,0.48148148148148145
2004,BOS,31.020144548669844,AL,BOS,162,949,98,64,5.8580246913580245,0.6049382716049383
2004,CHA,28.849788204626915,AL,CHW,162,865,83,79,5.339506172839506,0.5123456790123457
2004,CHN,30.754957278736097,NL,CHC,162,789,89,73,4.87037037037037,0.5493827160493827
2004,CIN,28.793990036959666,NL,CIN,162,750,76,86,4.62962962962963,0.4691358024691358
2004,CLE,29.279131521399563,AL,CLE,162,858,80,82,5.296296296296297,0.49382716049382713
2004,COL,30.98236048749198,NL,COL,162,833,68,94,5.1419753086419755,0.41975308641975306
2004,DET,28.78408726339429,AL,DET,162,827,72,90,5.104938271604938,0.4444444444444444
2004,FLO,29.006904487917147,NL,FLA,162,718,83,79,4.432098765432099,0.5123456790123457
2004,HOU,32.30659536541889,NL,HOU,162,803,92,70,4.95679012345679,0.5679012345679012
2004,KCA,29.4655651889416,AL,KCR,162,720,58,104,4.444444444444445,0.35802469135802467
2004,LAN,29.057327935222673,NL,LAD,162,761,93,69,4.697530864197531,0.5740740740740741
2004,MIL,28.910455064426685,NL,MIL,161,634,67,94,3.937888198757764,0.4161490683229814
2004,MIN,28.246634615384615,AL,MIN,162,780,92,70,4.814814814814815,0.5679012345679012
2004,MON,28.212156343159986,NL,WSN,162,635,67,95,3.919753086419753,0.41358024691358025
2004,NYA,32.81555239449976,AL,NYY,162,897,101,61,5.537037037037037,0.6234567901234568
2004,NYN,30.219253950154748,NL,NYM,162,684,71,91,4.222222222222222,0.4382716049382716
2004,OAK,30.11159465340379,AL,OAK,162,793,91,71,4.895061728395062,0.5617283950617284
2004,PHI,29.796620775969963,NL,PHI,162,840,86,76,5.185185185185185,0.5308641975308642
2004,PIT,27.447390223695113,NL,PIT,161,680,72,89,4.22360248447205,0.4472049689440994
2004,SDN,30.050630889634245,NL,SDP,162,768,87,75,4.7407407407407405,0.5370370370370371
2004,SEA,32.13204559848005,AL,SEA,162,698,63,99,4.308641975308642,0.3888888888888889
2004,SFN,32.323501725760906,NL,SFG,162,850,91,71,5.246913580246914,0.5617283950617284
2004,SLN,31.168380462724937,NL,STL,162,855,105,57,5.277777777777778,0.6481481481481481
